Steps,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/GAIL Reward
1015000,0.12852621,1.6264585,6.6497865,9.9999976e-05,None,None,None,None
1020000,0.43118086,1.6628895,6.380882,9.999998e-05,-7.315620488905249,4981.0,-7.304853165720123,123.17659630584384
1025000,1.3165573,1.7512767,5.985869,9.9999976e-05,None,None,-7.369457406341098,19.47868017392466
1030000,1.3977075,1.455881,6.211267,9.9999976e-05,None,None,None,None
1035000,1.2011245,1.5262744,6.294912,9.9999976e-05,None,None,None,None
1040000,1.3560646,1.4527136,6.374863,9.9999976e-05,None,None,None,None
1045000,1.0976712,1.5086367,6.6540794,9.9999976e-05,None,None,None,None
1050000,1.0751305,1.4718338,5.7230783,9.9999976e-05,None,None,None,None
1055000,1.6385282,1.4701382,6.1094894,9.9999976e-05,None,None,None,None
1060000,1.6944824,1.3632815,6.0363297,9.9999976e-05,None,None,None,None
1065000,1.6179662,1.3777882,6.2152596,9.9999976e-05,None,None,None,None
1070000,1.3841813,1.4416897,6.043789,9.9999976e-05,None,None,None,None
1075000,1.0729874,1.7945992,5.9207764,9.9999976e-05,None,None,None,None
1080000,1.3117753,1.4526993,5.9161134,9.999998e-05,-8.193942852659651,4981.0,-8.690687998523936,135.97259950506268
1085000,1.0859094,1.5321667,5.4231086,9.9999976e-05,None,None,-5.710216669365764,8.970347918453626
1090000,0.97248346,1.3788067,5.859468,9.9999976e-05,None,None,None,None
1095000,1.1324422,1.7555686,5.593119,9.9999976e-05,None,None,None,None
1100000,1.4392892,1.4552505,5.515783,9.9999976e-05,None,None,None,None
1105000,1.0615057,1.4183803,6.1604576,9.9999976e-05,None,None,None,None
1110000,1.4516839,1.3740826,6.7782416,9.9999976e-05,None,None,None,None
1115000,1.3652717,1.3218619,6.5604177,9.9999976e-05,None,None,None,None
1120000,1.2195928,1.4151262,5.9348884,9.9999976e-05,None,None,None,None
1125000,1.340827,1.4961084,5.774464,9.9999976e-05,None,None,None,None
1130000,1.493128,1.4323351,5.8577332,9.9999976e-05,None,None,None,None
1135000,2.142941,1.3263206,6.1566224,9.9999976e-05,None,None,None,None
1140000,2.1218894,1.2900822,6.6543274,9.999998e-05,-9.4001849705528,4981.0,-9.21473739054054,156.6650160563444
1145000,1.8189766,1.2649053,6.5974026,9.9999976e-05,None,None,-10.327422642381862,27.523820493690437
1150000,1.8725374,1.2235649,6.057799,9.9999976e-05,None,None,None,None
1155000,1.7392664,1.2691923,6.119854,9.9999976e-05,None,None,None,None
1160000,1.7017868,1.2135392,6.021553,9.9999976e-05,None,None,None,None
1165000,1.9750926,1.2399474,5.9087296,9.9999976e-05,None,None,None,None
1170000,2.0595062,1.4338574,6.0957756,9.9999976e-05,None,None,None,None
1175000,2.1227677,1.1899751,5.9878974,9.9999976e-05,None,None,None,None
1180000,2.1465993,1.2310857,6.9352746,9.9999976e-05,None,None,None,None
1185000,1.6352335,1.1900963,7.0913277,9.9999976e-05,None,None,None,None
1190000,1.7413994,1.2337463,6.5004525,9.9999976e-05,None,None,None,None
1195000,1.7587507,1.4078255,6.035086,9.9999976e-05,None,None,None,None
1200000,1.7069693,1.1807702,6.718421,9.999998e-05,-12.258830617196205,4981.0,-12.861307517858222,72.97357121338719
1205000,2.112817,1.1800067,5.8974576,9.9999976e-05,None,None,-9.246446059871232,7.951341439955286
1210000,2.4992723,1.2367492,5.7336144,9.9999976e-05,None,None,None,None
1215000,2.2336056,1.6991524,5.7390924,9.9999976e-05,None,None,None,None
1220000,2.0932689,1.2617147,6.4885736,9.9999976e-05,None,None,None,None
1225000,2.0479336,1.1885685,6.3638406,9.9999976e-05,None,None,None,None
1230000,1.8600905,1.3707515,6.0172734,9.9999976e-05,None,None,None,None
1235000,2.0450668,1.149961,6.3272986,9.9999976e-05,None,None,None,None
1240000,2.3040335,1.0619762,6.607128,9.9999976e-05,None,None,None,None
1245000,1.8968297,1.1903043,6.7438912,9.9999976e-05,None,None,None,None
1250000,2.0572095,1.182199,6.084987,9.9999976e-05,None,None,None,None
