Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
745000,18.296293,0.0020866932,-18.380533,0.00082985545,0.0007829062,0.032324616,6.5006185,0.00029999996,-29.658106842388708,4636.0,-29.658106962839764
750000,18.181421,0.09596515,-18.331755,0.044183824,0.044324838,0.031900015,6.4691854,0.00029999996,-22.285012615728192,4890.5,-22.285012625157833
755000,18.253866,0.079124175,-18.261124,0.033363372,0.03334219,0.03156245,6.469462,0.00029999999,-13.038549347314984,4981.0,-13.038549423217773
760000,18.16973,0.0027550864,-18.242977,0.0007892716,0.0008077975,0.031223835,6.5509315,0.00029999999,-9.603962725028396,4981.0,-9.60396272689104
765000,18.23056,0.0018469013,-18.17079,0.00073414226,0.00073034293,0.030272339,6.4933615,0.00029999999,-13.466904433909804,4981.0,-13.466904431581497
770000,18.0717,0.0020605794,-18.12179,0.0008331421,0.0008652879,0.029391687,6.503714,0.00029999999,None,None,None
775000,18.080673,0.002527025,-18.086044,0.0008940089,0.0009230259,0.028976481,6.4527516,0.00029999999,None,None,None
780000,18.074276,0.0021672705,-18.025255,0.0008426431,0.00081878155,0.02818406,6.457694,0.00029999999,None,None,None
785000,17.871729,0.0018425125,-17.973185,0.00072247756,0.00073583156,0.02733861,6.4798837,0.00029999996,-34.89883169842263,4981.0,-34.89883178472519
790000,17.829744,0.0019043204,-17.889622,0.00073595217,0.0007717313,0.02662221,6.447197,0.00029999996,-43.42935844510794,3951.0,-43.4293577671051
795000,17.98319,0.0018903174,-17.840261,0.00070610887,0.00075006176,0.026068551,6.4619937,0.00029999999,-32.36157079320401,4981.0,-32.36157089471817
800000,17.888157,0.04626359,-17.863945,0.021247812,0.021259703,0.025611158,6.459757,0.00029999996,None,None,None
805000,17.798538,0.014554927,-17.908607,0.0024208555,0.002520014,0.025199456,6.4959936,0.00029999999,None,None,None
