Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff
765000,14.567172,5.125739,0.00029999999,-1.9243884461207523,624.8888888888889,-1.8839584477245808,0.33944783,-14.672124,0.16594526,0.1662299,0.011375592
770000,14.678498,5.08209,0.00029999996,-1.472121482656803,486.1666666666667,-1.4721214603632689,0.4623231,-14.572086,0.22428386,0.22418824,0.011172094
775000,14.685558,5.1074533,0.00029999999,-1.3728368300944567,845.0,-1.372836872935295,0.32886136,-14.569433,0.15784118,0.15755223,0.010822967
780000,14.805824,5.0366206,0.00029999999,None,None,None,0.2592378,-14.550886,0.1281239,0.1273766,0.010509062
785000,14.862851,5.0034127,0.00029999999,None,None,None,0.16617353,-14.619227,0.08059853,0.08028508,0.010218345
790000,14.657851,5.089165,0.00029999999,-2.2982834046706557,959.0,-2.2982833981513977,0.13364261,-14.6052065,0.06611102,0.06586806,0.010006232
795000,14.602032,5.105025,0.00029999999,-2.6964594021847006,1855.75,-2.6964594572782516,0.10906333,-14.647608,0.052715138,0.052641243,0.009875324
800000,14.605391,5.0075727,0.0003,-0.8245296732056886,654.0,-0.8245297782123089,0.1134364,-14.576201,0.054488182,0.054113645,0.009476308
805000,14.561648,4.954026,0.00029999999,None,None,None,0.019827971,-14.555046,0.009326863,0.009384093,0.009124018
810000,14.704018,4.961816,0.00029999999,None,None,None,0.08371718,-14.511979,0.041191097,0.041140195,0.008979923
815000,14.676636,4.96735,0.00029999999,-4.842045518802479,4277.5,-4.842045519500971,0.07796788,-14.5401745,0.03789483,0.037989363,0.008783312
820000,14.5393505,4.863311,0.00029999999,-2.6237365533597767,4981.0,-2.6237365920096636,0.020751683,-14.547964,0.00940102,0.009443267,0.008549773
825000,14.526169,4.8716784,0.00029999999,-3.9512973830569535,4981.0,-3.9512973465025425,0.00536061,-14.493839,0.0024121762,0.0025027941,0.008310134
830000,14.234477,4.801981,0.00029999996,-4.847474630631041,3910.0,-4.8474746234714985,0.024133172,-14.408466,0.011453472,0.0114491945,0.008032118
835000,14.259668,4.816454,0.00029999999,None,None,None,0.05697552,-14.343746,0.027724596,0.027803525,0.00785379
840000,14.316806,4.92379,0.00029999999,None,None,None,0.036172125,-14.266768,0.017189894,0.017256688,0.0076753576
845000,14.285242,4.84448,0.00029999999,None,None,None,0.029281095,-14.206808,0.014175604,0.014209957,0.007423978
850000,14.172124,4.8736486,0.00029999999,None,None,None,0.00378918,-14.161148,0.0016713521,0.0017048765,0.0072704703
855000,14.23365,4.787282,0.00029999999,-2.194904430245515,4981.0,-2.194904450327158,0.0027254268,-14.137673,0.0011679076,0.0012347144,0.0070960764
860000,14.11877,4.814574,0.00029999999,-3.785136183956638,4981.0,-3.785136202350259,0.0025022905,-14.1016655,0.0010876149,0.0011310583,0.0068939812
865000,14.040749,4.709673,0.00029999996,None,None,None,0.002191801,-14.058784,0.00093343563,0.0009999594,0.0067337966
870000,13.918502,4.7355804,0.00029999999,None,None,None,0.0022219918,-13.992939,0.00095242896,0.0010038166,0.0065478766
875000,13.951619,4.7239385,0.00029999999,-1.7990819749732812,3399.3333333333335,-1.7990819715584319,0.0028670097,-13.961827,0.0012462188,0.0013210097,0.0064307405
